"lat","long","x","y","FID"
-9.27,-55.485833,-55.485833,-9.27,0
-9.453056,-55.816389,-55.816389,-9.453056,0
-16.266667,-55.966667,-55.966667,-16.266667,0
-9.953889,-68.204722,-68.204722,-9.953889,0
-7.329444,-47.640278,-47.640278,-7.329444,0
-7.329444,-47.640277,-47.640277,-7.329444,0
-2.7,-65.13,-65.13,-2.7,0
-11.916944,-64.161639,-64.161639,-11.916944,0
-11.9135,-64.161417,-64.161417,-11.9135,0
-1.271667,-48.24,-48.24,-1.271667,0
-2.995833,-47.352778,-47.352778,-2.995833,0
-12.875278,-46.686667,-46.686667,-12.875278,0
-9.391667,-69.955,-69.955,-9.391667,0
-9.39,-69.96,-69.96,-9.39,0
-9.3917,-69.955,-69.955,-9.3917,0
-15.483889,-55.733611,-55.733611,-15.483889,0
-10.208056,-59.407222,-59.407222,-10.208056,0
-14.471667,-60.0625,-60.0625,-14.471667,0
-15.166667,-56.85,-56.85,-15.166667,0
-8.991944,-69.550833,-69.550833,-8.991944,0
-8.99,-69.55,-69.55,-8.99,0
-8.9919,-69.5508,-69.5508,-8.9919,0
-6.169167,-48.786944,-48.786944,-6.169167,0
-6.13,-48.28,-48.28,-6.13,0
-4.546028,-46.670533,-46.670533,-4.546028,0
-10.304722,-48.095833,-48.095833,-10.304722,0
-10.07,-67.62,-67.62,-10.07,0
-10.066667,-67.616667,-67.616667,-10.066667,0
-10.8339,-52.8731,-52.8731,-10.8339,0
-9.183333,-72.683333,-72.683333,-9.183333,0
-9.18,-72.68,-72.68,-9.18,0
-15.596111,-56.096667,-56.096667,-15.596111,0
-10.6552314,-68.5061282,-68.5061282,-10.6552314,0
-10.651667,-68.504444,-68.504444,-10.651667,0
-10.85,-68.8,-68.8,-10.85,0
-10.701232,-68.623756,-68.623756,-10.701232,0
-10.701111,-68.623889,-68.623889,-10.701111,0
-9.834319,-67.9535921,-67.9535921,-9.834319,0
-9.830833,-67.951944,-67.951944,-9.830833,0
-9.83,-67.95,-67.95,-9.83,0
-10.6554314,-68.5059282,-68.5059282,-10.6554314,0
-10.1,-48.433333,-48.433333,-10.1,0
-10.651944,-68.504167,-68.504167,-10.651944,0
-2.883333,-59.966667,-59.966667,-2.883333,0
-12.416667,-64.233333,-64.233333,-12.416667,0
-12.41666,-64.23333,-64.23333,-12.41666,0
-12.42,-61.23,-61.23,-12.42,0
-12.416667,-61.233333,-61.233333,-12.416667,0
-0.766667,-52.666667,-52.666667,-0.766667,0
3.383333,-61.433333,-61.433333,3.383333,0
-2.883333,-59.97,-59.97,-2.883333,0
-3.5,-45.25,-45.25,-3.5,0
-7.204003,-52.585459,-52.585459,-7.204003,0
-7.203889,-52.585556,-52.585556,-7.203889,0
0.816667,-63.316667,-63.316667,0.816667,0
-1.42,-48.45,-48.45,-1.42,0
-5.233333,-44.466667,-44.466667,-5.233333,0
-5.23,-44.47,-44.47,-5.23,0
-10.596416,-65.32546,-65.32546,-10.596416,0
-10.596389,-65.325556,-65.325556,-10.596389,0
-15.2297666,-59.3365041,-59.3365041,-15.2297666,0
-15.226111,-59.335278,-59.335278,-15.226111,0
1.133333,-51.45,-51.45,1.133333,0
0,-54,-54,0,0
-1.583333,-55.533333,-55.533333,-1.583333,0
-0.221111,-55.165833,-55.165833,-0.221111,0
-12,-48,-48,-12,0
-8.494444,-48.644722,-48.644722,-8.494444,0
-8.05,-50.17,-50.17,-8.05,0
-8.5006,-48.6008,-48.6008,-8.5006,0
-3.42,-48.62,-48.62,-3.42,0
-3.416667,-48.616667,-48.616667,-3.416667,0
-8.072222,-50.170833,-50.170833,-8.072222,0
-4.32,-44.67,-44.67,-4.32,0
