"dataset","n_pontos","n_pares","min_km","media_km","mediana_km","sd_km","max_km"
"Handroanthus combinado",865,373680,0.000108429202870532,1285.03980729169,1282.39819230939,644.42818788309,3498.34429954017
"Cedrela combinado",315,49455,0.000107434492753685,1173.79091264175,1111.92755402256,640.943633239472,3267.42967573088
