"x","y","lon","lat","1.agemean","10.ai","11.pet","12.dust_dep","13.seasalt_dep","14.distance","15.volc_dep","16.fire_dep","17.fossilfuels_dep","18.clay","19.ph","2.agemin","20.cec","21.bulk","22.ocs","23.sw","24.w0010","25.w1500","26.w0033","27.w0010_30","28.wetland","29.soc","3.agemax","30.ocd","31.nitrogen","32.vapor","33.solar","34.tmin","35.tmax","36.wind","37.evi","38.ndvi","39.nir","4.basement_age","40.mir","41.PsnNet","42.gpp","43.npp","44.Lai","45.lst_day","46.lst_night","47.et","48.density","49.bio_1","5.gum","50.bio_2","51.bio_3","52.bio_4","53.bio_5","54.bio_6","55.bio_7","56.bio_8","57.bio_9","58.bio_10","59.bio_11","6.bouger","60.bio_12","61.bio_13","62.bio_14","63.bio_15","64.bio_16","65.bio_17","66.bio_18","67.bio_19","68.hurs_mean","69.hurs_max","7.elevation","70.hurs_min","71.vpd_mean","72.vpd_max","73.vpd_min","74.porosity","75.isorix","76.rh","8.mat","9.map"
-46.611447,-23.48877,-46.611447,-23.48877,645.910064407797,12108.0001947315,1224.47944761396,8.54462687341687e-13,8.67047909567253e-11,51.2259647063693,1.01845282043556e-13,6.98125742562188e-13,2.51091734813856e-12,NA,NA,585.161838208891,NA,NA,NA,0.359723040105096,NA,NA,NA,NA,253.871626207007,NA,699.520039901367,NA,NA,1.76636594104972,13979.0152647823,14.2691658816074,23.8531509730275,1.92520378406412,0.110145832128324,0.197066160743572,0.189218080645684,610,0.191794128172643,NA,NA,1775.11067702507,NA,30.1010099934744,17.5476316770287,NA,NA,19.0629189174738,0.235200271918135,9.60586719272917,59.3961140628209,231.060066257325,26.6779970247821,10.5053530481372,16.1726435149059,21.7752867266822,16.2572510405045,21.8406864947739,16.2572510405045,73.6536154745388,1483.26862113056,247.20819685782,38.1039316018952,60.5755583824099,682.737495456614,135.706688470436,656.204556179536,135.706688470436,64.5695779841938,66.8143366650284,772.122611528579,61.8656476786291,0.829274041691659,0.962995279587514,0.720862247328004,0.00809798760693733,-4.87321828817073,78.1288728460101,19.0606509058426,1362.02217543535
-49.472778,-24.976111,-49.472778,-24.976111,586,10854.8655450316,1213.23525234484,9.90360597980465e-13,7.83887315729396e-11,85.8967653503969,2.16884024576384e-13,1.32228180447321e-12,2.40467166006031e-12,391.928878598092,5.28660936225622,542,200.537729236105,106.942595699949,60.3842677125052,0.318145335623551,394.494668991383,173.706425007739,321.457378765694,371.783551104676,40.3544464135103,418.562303826005,630,319.787049601312,254.605039309028,1.81034176225964,13400.5259214639,14.4150430206776,25.3850344352661,1.45021721536243,0.415558286839306,0.670087084646518,0.307786032656883,565,0.0968513258503085,1732.35386862935,2219.35214261467,1862.59284696128,2.03228109974049,23.8889659892618,14.6516255528275,1081.75333057885,NA,20.1543779539523,0,10.981787646968,55.920620892121,313.227468992903,29.4182795806481,9.77991885466174,19.6383615155891,23.7301304926225,17.2834544751933,23.7562824972235,16.2450050910951,104.154979731976,1310.19749051009,155.127555186067,67.4069235192773,25.6684012459091,434.639538068056,250.309060030259,421.339947487859,265.939447341713,64.1431212225289,65.9238732517869,429.645439072576,62.516948985653,0.865209332321372,1.05953786757741,0.622054225162823,0.00999999977648258,-4.9078753256961,74.0058244149392,20.0836511155515,1254.34077815708
-49.236389,-25.442222,-49.236389,-25.442222,16.8547453573964,13033.8229197474,1203.34777317872,9.61325486095615e-13,1.14957074801361e-10,49.9301494191757,2.30356893850023e-13,1.31893509768637e-12,2.43066752270011e-12,402.302856445312,4.97597169876099,1.07388060807406,225.762023925781,98.5630416870117,71,0.352954918025503,NA,NA,NA,NA,81.4727860393738,NA,38.9522421012822,NA,NA,1.56655466739867,13413.997230048,12.5448536571282,23.2961006798593,1.75854250798368,0.227479905410494,0.389551879787155,0.230785573488447,600,0.162191619179112,NA,NA,1876.51706415919,NA,28.0479205388261,14.7218250230092,NA,NA,17.8957087625449,1,10.7531477411992,57.9409971092003,291.06483524806,26.8091447425411,8.25015122893355,18.5589938429097,21.3311857741527,14.3350447845679,21.3311857741527,14.3350447845679,109.762182352764,1571.77499555391,208.843798061438,81.1736110769554,30.1706885039723,549.250822489051,270.901542007127,549.250822489051,270.901542007127,67.7151851056568,69.7884413890665,913.616522406169,64.758873182896,0.642901218640157,0.752382196285654,0.535991889643031,0,-5.46802570510827,73.7595622324436,17.9137452230463,1369.93077528799
-45.863242,-22.832751,-45.863242,-22.832751,602.778927984107,15963.9644269783,1106.48496755452,8.42820767081171e-13,8.64810757746729e-11,99.2912923162726,8.51804873772064e-14,5.90415027862574e-13,1.93340284454268e-12,267.535628036831,4.88138679581004,542,133.16823306857,109.735365516541,99.5127687629267,0.293786582164112,389.206356262248,159.225445437366,329.942233394311,373.470693368698,85.6661358245895,402.258336456565,666.626579862374,468.10445454025,322.50731646645,1.3953114064744,14248.9486498998,9.10028494488412,20.0951333365035,2.13091764690932,0.430332558822894,0.811735369196161,0.256915561997265,610,0.0478154168714173,2364.13287429217,3157.89089619931,1896.45559279867,4.00279038912653,19.8952871590765,12.3807301375608,1258.96391658745,NA,14.2235911438872,0,10.9824950223635,52.4462448214798,289.156487795083,24.0202726235525,3.07961691325989,20.9406556383888,17.5275049293116,10.5582686740675,17.5275049293116,10.5409071571842,61.1902502039807,1768.26054607175,322.93133036288,32.8445752269359,65.7923113504487,845.744816683981,143.496745312188,845.744816683981,143.496745312188,65.30557196502,69.9812221544305,1530.24115817096,58.2698177263108,0.612373315579236,0.678341693831662,0.562267331193543,0.00999999977648258,-5.3606290571079,77.1224317428304,14.2978579777848,1855.9471699219
-49.636398,-24.224686,-49.636398,-24.224686,396.561147998595,10122.8990938423,1302.17310768539,1.04268203336907e-12,4.69199359880546e-11,156.188866219982,1.86188719559443e-13,1.26678396409131e-12,2.14092883058532e-12,317.593506928345,5.30327758357617,374.738045557522,223.621735102938,114.976507168804,61.9349227709444,0.350017763643422,402.050974144109,168.341619562566,349.367503414356,384.910130648099,21.6335929054054,239.8074841128,415.998530876215,314.162285918543,252.602953248712,1.59699242557101,14573.4244093062,11.9677442066932,24.083970807212,1.9106484467783,0.383665271829898,0.590315404770862,0.30704835022727,565,0.141127325903618,1377.21621461051,1804.11009950197,1888.09690121364,1.56396708798658,26.5445915741683,13.3678050303897,872.885729610203,NA,18.2339188261323,0,12.1416144376644,59.5518245514751,288.320434055202,26.9583331937135,6.57001586711434,20.3883166315091,21.3899858776159,14.7465186649527,21.4652867046231,14.4221017762364,82.0267049520247,1311.85612214251,200.426332053409,54.1081743646324,40.7609106299622,510.607428531231,187.910566379652,479.362286707528,209.982088906163,62.0798841576458,65.1934640451738,873.459004272847,58.1248992032601,0.82876154438678,0.940945591167975,0.653569851028457,0.189999997615814,-5.41367975476592,72.0959511336195,18.1665274958746,1347.69878053352
-54.667778,-20.456667,-54.667778,-20.456667,122.550003051758,8309.57823079215,1751.7966926203,1.14817969841982e-12,1.17012538455619e-11,816.05056746402,1.09869594692321e-13,8.51365717813644e-13,5.30459279888045e-13,324.182059476283,5.43694518454289,99.5999984741211,102.002146472217,136.554423994612,51.9676838997831,0.2901378262932,NA,NA,NA,NA,34.1176395057171,NA,145.5,NA,NA,2.01794931595257,15642.3475698906,17.9475334668498,29.1242185934783,2.89990253622828,0.256227112553437,0.436505559155356,0.262019969138868,541,0.166645898237812,NA,NA,1818.20271508234,NA,33.7026717664593,20.4898254263757,NA,NA,23.5722713030497,0,11.1862408213565,69.3824809153576,177.646186579567,30.6180219060031,14.4953617395848,16.1226601430863,25.1416018725208,21.2918807996979,25.1564181086089,20.9959273916619,81.498154337773,1458.88096690529,237.581886875304,39.6461967759837,54.7431077338756,647.251278089843,129.022762604714,578.125467243644,199.769767053905,58.0629603237377,64.2605312964121,557.181711227942,50.3677045468482,1.20415538164068,1.36996915824671,1.05080492385045,0.0900000035762787,-5.52441097921972,65.926008634564,23.5728997831209,1452.76202474269
-44.848693,-21.339602,-44.848693,-21.339602,754.961343335143,11706.1171653002,1355.56181111252,8.56956277328119e-13,5.55202057133516e-11,182.544001164767,6.62995161654217e-14,4.55192940551394e-13,1.47030261454739e-12,426.871083857035,5.11582371849374,541.613561796808,112.934172939114,121.086076196746,49.0808597993925,0.313000438958972,385.094942990117,175.947181971698,319.118641035013,384.351919184172,51.232823427037,229.644374259657,999.287022389574,260.874642822051,194.894400762396,1.70813086514927,14694.0240117642,13.5664624302868,25.8335397501258,1.56393276184281,0.324629851965624,0.541707916548645,0.277299600290441,774.583503873787,0.148499553194644,1419.43856487445,1749.75818109483,1790.39605216682,1.35747267243757,27.154477563662,15.7603581375707,817.555183982213,NA,19.6705080517954,0.000402120407381722,12.2464296875218,64.5923405352127,227.5203330369,27.7037807735256,8.74372012826941,18.9600607211562,22.0098656129785,16.6387427560503,22.0098656129785,16.5943557892549,59.8302632495851,1585.17058980392,316.983908456305,18.2812165279615,80.2364708255414,813.526790883081,64.8439564711544,719.482269037599,79.8524089065114,60.9017097962727,64.6701451233742,952.496315862426,56.2942862898659,0.920779490666131,1.02844937481407,0.77612492718789,0.00999999977648258,-4.91257684702346,69.5453757160803,19.6469891376479,1536.40157323037
-52.472183,-31.421206,-52.472183,-31.421206,586,10972.2007609794,1317.12994681945,1.21833603977869e-12,1.22435402953969e-10,37.1777008995141,4.68253939544156e-13,1.45877602398497e-12,1.15147301386468e-12,229.579153095656,5.29651578145869,542,164.741729563094,112.869809174245,66.9791999680608,0.313136004767673,335.143674831823,146.86057284637,288.828377340727,312.993203957717,186.244511161896,286.333156325216,630,307.128609894522,194.976516637377,1.62292528081155,14543.1117848669,13.999352709882,22.5353446223487,2.72799198703663,0.46899535908769,0.746656240655943,0.315094234624135,546,0.0891092574227014,1639.86523449095,2206.84212491443,2000.24097605765,2.37367512485086,21.989084483272,12.6078422363565,1035.12863467189,NA,18.1591272354396,0,8.51041809358425,45.1632564148467,396.805551625507,27.7002828070387,8.85653317094675,18.843749636092,13.8764227896889,22.1002353885157,22.690800086718,13.2715470457036,149.690008799379,1446.37397964054,143.751544433146,88,15.1442947425439,411.001655707162,299.792005715878,344.578601113035,405.310302485056,64.1412403036222,64.9299646884026,260.380050453464,62.8273944924567,0.722436990870497,0.9655575096165,0.496516691023404,0.00999999977648258,-5.30216882811343,72.5735178425436,18.1630327384278,1446.54200954094
-52.542432,-31.582105,-52.542432,-31.582105,586,10458.3349077939,1348.79629514982,1.23643184977309e-12,1.27407752144991e-10,33.3823014146786,4.61480925169434e-13,1.42808800448614e-12,1.10752922949967e-12,233.853708009741,5.22802465317829,542,156.707285673369,118.161682501564,60.8841420239652,0.298667505326254,336.408703119688,143.874445098504,302.620929403234,313.508497285405,255.947239186267,225.722474613099,630,243.77894481532,175.908331515008,1.65462635469746,14586.5885553833,14.3541291598342,22.9625669979981,2.76434756994721,0.444224257505513,0.72241847733751,0.299581566391869,546,0.0916539314138765,1656.52723515725,2138.44017468813,1949.61941680671,2.14390141454518,22.5947920119072,12.4541487992528,995.654285768016,NA,18.8036153605806,0,8.58982824618294,44.7018902545926,400.208801206831,28.5372986005125,9.32137270634541,19.2159259894881,14.9731475667323,22.0226586116552,23.4663337900522,13.8790365748848,150.186313882777,1409.1692050151,140.446265386148,85.1148061192476,15.7615231463207,400.815742293097,292.885567012403,343.431249180621,390.546280910293,63.9610790224844,64.7575711186254,134.674668180986,62.1886659051912,0.756078138656249,1.02789629876017,0.507630585496249,0.00999999977648258,-5.21730904286363,72.0841995449346,18.7630298777116,1408.75392775614
-49.336299,-27.808095,-49.336299,-27.808095,244.148106529839,16184.1505764617,1047.96545825114,8.88475109837823e-13,1.46428572076292e-10,68.8878042361133,3.24857262703119e-13,1.3599211876006e-12,1.29613585735226e-12,502.381692073572,5.05692236864031,232.982266388888,197.133121508255,89.4533666181744,88.6381474436155,0.323202500797602,392.516749201236,225.966016690828,353.450056837701,364.49939549607,71.5426439328478,583.449766725447,255.332076841078,452.46691244477,371.969943481459,1.3534933546185,13509.4359334163,9.53325443743467,18.8076559575347,2.51367180346979,0.448197489329106,0.778612527033061,0.286424006459482,546,0.0659918507294545,2371.23850488936,3036.02840769159,1843.81685075928,3.86307846538922,19.4263716868967,11.6584492597777,1175.40753147904,NA,14.7161680871613,0,9.35011693370276,53.0112041520888,295.797952340813,23.4142347881601,5.77616165714688,17.6380724006752,18.3631626084369,11.5356229661845,18.3631626084369,11.1462098715512,69.0812002416543,1677.81643811493,198.626887771133,103.839840775774,21.5631124396889,538.887410489766,322.837300782137,538.887410489766,356.249081830393,69.4874959911598,72.0159084879861,1123.95956406912,65.9393858059149,0.522610617551092,0.622223033691801,0.419289248881065,0.125808270510877,-5.92599526793357,79.3651770888591,14.4604442716813,1668.36609054254
