"lat","long","x","y"
-9.31323800256563,-62.9742019978888,-62.9742019978888,-9.31323800256563
-9.31534599620293,-62.9804510036135,-62.9804510036135,-9.31534599620293
-9.30410200358358,-63.0311110042083,-63.0311110042083,-9.30410200358358
-9.30936999683547,-62.9780809995063,-62.9780809995063,-9.30936999683547
-9.30615800419707,-63.0017099979781,-63.0017099979781,-9.30615800419707
-8.640529522,-70.14946298,-70.14946298,-8.640529522
-8.645667512,-70.14574198,-70.14574198,-8.645667512
-8.640549518,-70.14790298,-70.14790298,-8.640549518
-8.633355525,-70.13932301,-70.13932301,-8.633355525
-8.633667528,-70.13915202,-70.13915202,-8.633667528
-5.99754332741423,-55.2618048451389,-55.2618048451389,-5.99754332741423
-5.97672702114864,-55.2671811518219,-55.2671811518219,-5.97672702114864
-5.97242192569736,-55.2668695617468,-55.2668695617468,-5.97242192569736
-5.9760236970647,-55.2678065350554,-55.2678065350554,-5.9760236970647
-6.00039671563433,-55.280591137476,-55.280591137476,-6.00039671563433
-6.00595052727807,-55.2611549968007,-55.2611549968007,-6.00595052727807
-5.97333103718627,-55.2684201057826,-55.2684201057826,-5.97333103718627
-5.99893586685053,-55.2847503918196,-55.2847503918196,-5.99893586685053
-5.98089575501063,-55.2586874384469,-55.2586874384469,-5.98089575501063
-0.990665995898319,-54.1829020004038,-54.1829020004038,-0.990665995898319
-1.00441699940039,-54.1850360003013,-54.1850360003013,-1.00441699940039
-0.984065996796339,-54.2115430010074,-54.2115430010074,-0.984065996796339
-8.50381900427673,-69.0713800027169,-69.0713800027169,-8.50381900427673
-8.50545996210769,-69.0224597312839,-69.0224597312839,-8.50545996210769
-8.47347484638967,-69.1235877098779,-69.1235877098779,-8.47347484638967
-8.49073500351144,-69.0333759998312,-69.0333759998312,-8.49073500351144
-8.4861140041756,-69.0582550025538,-69.0582550025538,-8.4861140041756
-8.47790999833184,-69.0543500024545,-69.0543500024545,-8.47790999833184
-8.49348190997014,-69.0956100825722,-69.0956100825722,-8.49348190997014
-3.26659924568101,-51.8477811563242,-51.8477811563242,-3.26659924568101
-3.25975657565603,-51.8523475352533,-51.8523475352533,-3.25975657565603
-3.31199160442288,-52.0548025432839,-52.0548025432839,-3.31199160442288
-3.32671497520418,-51.7875440386948,-51.7875440386948,-3.32671497520418
-3.29049530170839,-51.8519235056338,-51.8519235056338,-3.29049530170839
-0.99365200159774,-53.2631180019812,-53.2631180019812,-0.99365200159774
-0.961717996101761,-53.3285880042429,-53.3285880042429,-0.961717996101761
-0.998599004267091,-53.2684510021617,-53.2684510021617,-0.998599004267091
-0.978458705038871,-53.3279245543175,-53.3279245543175,-0.978458705038871
-0.968390000883807,-53.3261520041232,-53.3261520041232,-0.968390000883807
-0.968971002551427,-53.3252809973595,-53.3252809973595,-0.968971002551427
-0.996333002971555,-53.2653799975314,-53.2653799975314,-0.996333002971555
-0.968616998184419,-53.3235229954795,-53.3235229954795,-0.968616998184419
-0.968510004277252,-53.3230760035516,-53.3230760035516,-0.968510004277252
-9.8587,-62.7538,-62.7538,-9.8587
-11.8483333333333,-61.2816666666667,-61.2816666666667,-11.8483333333333
-11.6052777777778,-61.1155555555556,-61.1155555555556,-11.6052777777778
-11.4166666666667,-61.76,-61.76,-11.4166666666667
-10.8566666666667,-61.9505555555556,-61.9505555555556,-10.8566666666667
-10.0967777777778,-63.8465277777778,-63.8465277777778,-10.0967777777778
1.58972222222222,-61.0722222222222,-61.0722222222222,1.58972222222222
-5.804694444,-50.559833333,-50.559833333,-5.804694444
-8.281667,-70.063333,-70.063333,-8.281667
-8.284722,-70.077222,-70.077222,-8.284722
-8.295556,-70.085833,-70.085833,-8.295556
-6.623611,-51.006111,-51.006111,-6.623611
-11.919167,-64.234722,-64.234722,-11.919167
-3.061099,-59.80428,-59.80428,-3.061099
-12.266944,-63.3975,-63.3975,-12.266944
-3.05,-54.927778,-54.927778,-3.05
-0.08,-52.536111,-52.536111,-0.08
-9.758889,-62.063333,-62.063333,-9.758889
-9.131389,-68.951389,-68.951389,-9.131389
-9.20185,-69.583333,-69.583333,-9.20185
-15.65,-57.225,-57.225,-15.65
-12.431389,-64.419167,-64.419167,-12.431389
-3.154839,-60.658681,-60.658681,-3.154839
-9.772778,-62.033889,-62.033889,-9.772778
-9.772778,-62.030833,-62.030833,-9.772778
-9.7475,-62.100278,-62.100278,-9.7475
-9.745556,-62.082222,-62.082222,-9.745556
-9.195556,-63.111944,-63.111944,-9.195556
-9.113889,-62.1825,-62.1825,-9.113889
-9.096111,-62.158889,-62.158889,-9.096111
-9.745555,-62.082222,-62.082222,-9.745555
-9.195555,-63.111944,-63.111944,-9.195555
-10.790278,-63.662222,-63.662222,-10.790278
-8.958056,-62.251944,-62.251944,-8.958056
-10.054444,-59.504722,-59.504722,-10.054444
-10.600556,-49.192778,-49.192778,-10.600556
-11.448889,-48.120556,-48.120556,-11.448889
-9,-56,-56,-9
-10.26,-67.86,-67.86,-10.26
-12.291389,-63.999167,-63.999167,-12.291389
-9.851667,-56.935833,-56.935833,-9.851667
-9.64,-56.420278,-56.420278,-9.64
-12.931389,-46.938056,-46.938056,-12.931389
-14.694056,-56.33975,-56.33975,-14.694056
-14.698888,-56.845555,-56.845555,-14.698888
-14.694167,-56.339722,-56.339722,-14.694167
-14.698889,-56.845556,-56.845556,-14.698889
-9.319444,-56.993056,-56.993056,-9.319444
-9.131111,-68.951111,-68.951111,-9.131111
-7.266083,-47.041861,-47.041861,-7.266083
-9.2425,-57.036389,-57.036389,-9.2425
-9.305833,-56.993889,-56.993889,-9.305833
-5.219722,-45,-45,-5.219722
-5.58,-43.38,-43.38,-5.58
-9.587222,-55.916111,-55.916111,-9.587222
-9.275556,-57.0075,-57.0075,-9.275556
-4.95,-43.38,-43.38,-4.95
-11.880833,-65.023056,-65.023056,-11.880833
-9.251944,-62.903889,-62.903889,-9.251944
-10.08,-62.82,-62.82,-10.08
-15.620528,-56.086111,-56.086111,-15.620528
-11.387872,-61.335683,-61.335683,-11.387872
-3.381944,-51.880833,-51.880833,-3.381944
-10.424944,-54.600556,-54.600556,-10.424944
-10.595833,-56.043611,-56.043611,-10.595833
-10.425,-54.600556,-54.600556,-10.425
-10.343361,-56.355278,-56.355278,-10.343361
-10.998889,-55.598611,-55.598611,-10.998889
-10.343333,-56.355278,-56.355278,-10.343333
-16.588611,-56.280556,-56.280556,-16.588611
-9.918556,-55.992889,-55.992889,-9.918556
-3.27,-51.816389,-51.816389,-3.27
-1.418056,-48.411389,-48.411389,-1.418056
-9.916667,-56.083333,-56.083333,-9.916667
-14.943611,-60.011388,-60.011388,-14.943611
-14.943611,-60.011389,-60.011389,-14.943611
-10.632667,-55.044333,-55.044333,-10.632667
-10.632778,-55.044444,-55.044444,-10.632778
-10.775806,-55.737444,-55.737444,-10.775806
-10.775833,-55.7375,-55.7375,-10.775833
-16.570556,-57.546222,-57.546222,-16.570556
-11.001389,-55.491111,-55.491111,-11.001389
-11.013333,-55.491111,-55.491111,-11.013333
-12.441944,-64.23,-64.23,-12.441944
-3.383889,-51.882222,-51.882222,-3.383889
-9.7165,-68.13775,-68.13775,-9.7165
-9.610833,-65.467778,-65.467778,-9.610833
-9.610833,-65.467777,-65.467777,-9.610833
-9.4775,-65.467778,-65.467778,-9.4775
-11.187222,-62.118611,-62.118611,-11.187222
-9.716389,-68.1375,-68.1375,-9.716389
-11.1872,-62.1186,-62.1186,-11.1872
-16.527028,-57.552694,-57.552694,-16.527028
-9.346389,-56.775556,-56.775556,-9.346389
-9.345278,-56.826111,-56.826111,-9.345278
-11.413389,-58.749528,-58.749528,-11.413389
-11.413333,-58.749444,-58.749444,-11.413333
-9.270833,-64.393333,-64.393333,-9.270833
-9.161389,-64.233611,-64.233611,-9.161389
-9.819722,-58.258611,-58.258611,-9.819722
-15.970611,-57.91325,-57.91325,-15.970611
-9.348611,-56.773611,-56.773611,-9.348611
-9.3475,-56.773333,-56.773333,-9.3475
-9.38108,-62.97945,-62.97945,-9.38108
-15.828972,-58.071139,-58.071139,-15.828972
-6.768889,-48.546111,-48.546111,-6.768889
-7.864167,-47.936111,-47.936111,-7.864167
-7.293055,-47.709166,-47.709166,-7.293055
-6.704444,-47.713611,-47.713611,-6.704444
-7.216667,-47.746388,-47.746388,-7.216667
-7.256944,-47.739722,-47.739722,-7.256944
-7.293056,-47.709167,-47.709167,-7.293056
-7.216667,-47.746389,-47.746389,-7.216667
-7.873611,-47.951944,-47.951944,-7.873611
-3.02,-59.88,-59.88,-3.02
-9.323333,-56.788611,-56.788611,-9.323333
-7.055278,-47.6,-47.6,-7.055278
-7.216389,-47.745833,-47.745833,-7.216389
-9.665833,-55.214444,-55.214444,-9.665833
-9.3957,-55.1252,-55.1252,-9.3957
-9.395833,-55.125278,-55.125278,-9.395833
-3.119167,-60.021667,-60.021667,-3.119167
-9.277778,-64.6025,-64.6025,-9.277778
-9.228333,-64.639722,-64.639722,-9.228333
-10.354444,-48.183611,-48.183611,-10.354444
-7.864444,-47.937222,-47.937222,-7.864444
-7.276667,-47.760555,-47.760555,-7.276667
-7.276667,-47.760556,-47.760556,-7.276667
-9.450278,-55.816389,-55.816389,-9.450278
-9.452778,-55.816389,-55.816389,-9.452778
-9.2701,-55.4859,-55.4859,-9.2701
-9.453056,-55.816944,-55.816944,-9.453056
-9.27,-55.485833,-55.485833,-9.27
-9.453056,-55.816389,-55.816389,-9.453056
-16.266667,-55.966667,-55.966667,-16.266667
-9.953889,-68.204722,-68.204722,-9.953889
-7.329444,-47.640278,-47.640278,-7.329444
-7.329444,-47.640277,-47.640277,-7.329444
-2.7,-65.13,-65.13,-2.7
-11.916944,-64.161639,-64.161639,-11.916944
-11.9135,-64.161417,-64.161417,-11.9135
-1.271667,-48.24,-48.24,-1.271667
-2.995833,-47.352778,-47.352778,-2.995833
-12.875278,-46.686667,-46.686667,-12.875278
-9.391667,-69.955,-69.955,-9.391667
-9.39,-69.96,-69.96,-9.39
-9.3917,-69.955,-69.955,-9.3917
