"lat","long","x","y"
-16.457823,-56.6762,-56.6762,-16.457823
-11.815833,-60.944444,-60.944444,-11.815833
-11.755833,-61.048056,-61.048056,-11.755833
-9.978458,-67.841678,-67.841678,-9.978458
-1.228515,-48.294914,-48.294914,-1.228515
-3.275556,-45.646667,-45.646667,-3.275556
1.2325,-52.382222,-52.382222,1.2325
1.195278,-52.376944,-52.376944,1.195278
-2.499728,-54.951717,-54.951717,-2.499728
-0.511944,-52.855833,-52.855833,-0.511944
-2.571434,-60.888603,-60.888603,-2.571434
-2.569443,-60.890378,-60.890378,-2.569443
-2.447977,-61.03576,-61.03576,-2.447977
-15.556111,-55.81,-55.81,-15.556111
-16.462621,-56.400184,-56.400184,-16.462621
-15.358973,-55.786531,-55.786531,-15.358973
-7.986944,-49.428889,-49.428889,-7.986944
-16.428027,-56.670532,-56.670532,-16.428027
-16.376752,-56.621751,-56.621751,-16.376752
-16.485563,-56.690919,-56.690919,-16.485563
-16.493692,-56.684118,-56.684118,-16.493692
-6.061619,-50.060669,-50.060669,-6.061619
-16.378916,-56.617897,-56.617897,-16.378916
-15.774728,-57.260714,-57.260714,-15.774728
-15.405121,-55.82949,-55.82949,-15.405121
-8.665833,-61.817778,-61.817778,-8.665833
-9.597495,-55.932102,-55.932102,-9.597495
-17.2825,-56.709167,-56.709167,-17.2825
-2.015952,-54.178182,-54.178182,-2.015952
-11.845298,-55.516441,-55.516441,-11.845298
-4.484341,-46.846656,-46.846656,-4.484341
-2.5724,-60.786935,-60.786935,-2.5724
-3.156976,-60.110976,-60.110976,-3.156976
-3.907928,-52.591908,-52.591908,-3.907928
-5.804444,-52.611667,-52.611667,-5.804444
-9.117778,-62.93,-62.93,-9.117778
-10.603536,-68.461908,-68.461908,-10.603536
-9.598517,-55.933011,-55.933011,-9.598517
-16.529911,-56.691653,-56.691653,-16.529911
-4.748392,-45.165248,-45.165248,-4.748392
-16.835967,-56.842103,-56.842103,-16.835967
-8.754444,-63.861944,-63.861944,-8.754444
-13.538943,-56.627758,-56.627758,-13.538943
-16.833949,-56.842872,-56.842872,-16.833949
-3.462194,-44.775389,-44.775389,-3.462194
-17.318797,-56.736423,-56.736423,-17.318797
-17.212914,-55.161613,-55.161613,-17.212914
-9.120556,-62.136944,-62.136944,-9.120556
-9.770556,-62.133889,-62.133889,-9.770556
-9.769167,-62.131111,-62.131111,-9.769167
-9.771667,-62.015278,-62.015278,-9.771667
-9.773056,-62.028333,-62.028333,-9.773056
-9.748056,-62.085833,-62.085833,-9.748056
-9.162778,-62.925,-62.925,-9.162778
-9.202222,-63.011111,-63.011111,-9.202222
-9.148889,-63.105278,-63.105278,-9.148889
-9.144444,-63.108056,-63.108056,-9.144444
-9.136389,-63.101389,-63.101389,-9.136389
-8.84,-62.222778,-62.222778,-8.84
-9.0775,-62.171389,-62.171389,-9.0775
-9.081389,-62.1725,-62.1725,-9.081389
-9.096667,-62.173611,-62.173611,-9.096667
-8.632222,-62.949722,-62.949722,-8.632222
-8.635556,-62.928056,-62.928056,-8.635556
-8.635555,-62.928056,-62.928056,-8.635555
-8.635833,-62.942222,-62.942222,-8.635833
-9.748055,-62.085833,-62.085833,-9.748055
-9.952231,-62.994889,-62.994889,-9.952231
-8.728611,-46.713333,-46.713333,-8.728611
-15.67237,-55.701489,-55.701489,-15.67237
-2.418473,-54.716412,-54.716412,-2.418473
-15.095154,-56.133498,-56.133498,-15.095154
-10.790278,-63.662222,-63.662222,-10.790278
