"lat","long","x","y","Species","Scientific_name","Genus","Code","Cod.Lab","Family","Point","Site","State","UC","FID"
-11.5294444444444,-61.0127777777778,-61.0127777777778,-11.5294444444444,"Ipê","Handroanthus spp","Handroanthus","MAD1053","ZMG 0368","Bignoniaceae",75,"Espigão D'Oeste","Rondônia",NA,0
-11.5522222222222,-60.9847222222222,-60.9847222222222,-11.5522222222222,"Ipê","Handroanthus spp","Handroanthus","MAD1060","ZMG 0375","Bignoniaceae",75,"Espigão D'Oeste","Rondônia",NA,0
-11.5858333333333,-61.7763888888889,-61.7763888888889,-11.5858333333333,"Ipê","Handroanthus spp","Handroanthus","MAD1064","ZMG 0379","Bignoniaceae",75,"Rolim de Moura","Rondônia",NA,0
-11.4169444444444,-61.7597222222222,-61.7597222222222,-11.4169444444444,"Ipê","Handroanthus spp","Handroanthus","MAD1067","ZMG 0382","Bignoniaceae",75,"Castanheiras","Rondônia",NA,0
-11.3713888888889,-61.3327777777778,-61.3327777777778,-11.3713888888889,"Ipê","Handroanthus spp","Handroanthus","MAD1069","ZMG 0384","Bignoniaceae",75,"Cacoal","Rondônia",NA,0
-10.8566666666667,-61.9502777777778,-61.9502777777778,-10.8566666666667,"Ipê","Handroanthus spp","Handroanthus","MAD1074","ZMG 0389","Bignoniaceae",75,"Ji-Paraná","Rondônia",NA,0
-10.0734444444444,-63.2121666666667,-63.2121666666667,-10.0734444444444,"Ipê","Handroanthus spp","Handroanthus","MAD1090","ZMG 0405","Bignoniaceae",75,"Monte Negro","Rondônia",NA,0
-10.0986111111111,-63.8463888888889,-63.8463888888889,-10.0986111111111,"Ipê","Handroanthus spp","Handroanthus","MAD1097","ZMG 0412","Bignoniaceae",75,"Buritis","Rondônia",NA,0
-10.9977777777778,-62.0258333333333,-62.0258333333333,-10.9977777777778,"Ipê","Handroanthus spp","Handroanthus","MAD1114","ZMG 0429","Bignoniaceae",75,"Ji-Paraná","Rondônia",NA,0
-11.0136111111,-62.3683333333,-62.3683333333,-11.0136111111,"Ipê","Handroanthus spp","Handroanthus","MAD1138","ZMG 0576","Bignoniaceae",75,"Urupá","Rondônia",NA,0
-5.804694444,-50.559833333,-50.559833333,-5.804694444,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD1219","ZMF1463","Bignoniaceae",75,"Parauapebas","Pará","FLORESTA NACIONAL DE CARAJÁS",0
